hotel,city,comment_page_url,hotel_star
هتل-استقلال,تهران ,https://www.iranhotelonline.com/tehran-hotels/هتل-استقلال/نظرات/,5
هتل-اسپیناس-پالاس,تهران ,https://www.iranhotelonline.com/tehran-hotels/هتل-اسپیناس-پالاس/نظرات/,5
هتل-اوین,تهران ,https://www.iranhotelonline.com/tehran-hotels/هتل-اوین/نظرات/,4
هتل-آزادی,تهران ,https://www.iranhotelonline.com/tehran-hotels/هتل-آزادی/نظرات/,5
هتل-هما,تهران ,https://www.iranhotelonline.com/tehran-hotels/هتل-هما/نظرات/,5
هتل-اسپیناس-بلوار,تهران ,https://www.iranhotelonline.com/tehran-hotels/هتل-اسپیناس-بلوار/نظرات/,5
هتل-انقلاب,تهران ,https://www.iranhotelonline.com/tehran-hotels/هتل-انقلاب/نظرات/,4
هتل-بزرگ,تهران ,https://www.iranhotelonline.com/tehran-hotels/هتل-بزرگ/نظرات/,4
هتل-بلوط,تهران ,https://www.iranhotelonline.com/tehran-hotels/هتل-بلوط/نظرات/,3
هتل-پرشین-پلازا,تهران ,https://www.iranhotelonline.com/tehran-hotels/هتل-پرشین-پلازا/نظرات/,5
هتل-جهانگردی,سبزوار,https://www.iranhotelonline.com/sabzevar-hotels/هتل-جهانگردی/نظرات/,2
هتل-کاملیا,سبزوار,https://www.iranhotelonline.com/sabzevar-hotels/هتل-کاملیا/نظرات/,3
اقامتگاه-بوم-گردی-ننه-کلو-بابا-کلو,سبزوار,https://www.iranhotelonline.com/ecolodge/سبزوار/اقامتگاه-بوم-گردی-ننه-کلو-بابا-کلو/نظرات/,0
هتل-ایبیس-فرودگاه-امام-(اکسیس-سابق),تهران ,https://www.iranhotelonline.com/tehran-hotels/هتل-ایبیس-فرودگاه-امام-(اکسیس-سابق)/نظرات/,4
هتل-دیاموند,تهران ,https://www.iranhotelonline.com/tehran-hotels/هتل-دیاموند/نظرات/,3
هتل-آتانا,تهران ,https://www.iranhotelonline.com/tehran-hotels/هتل-آتانا/نظرات/,4
هتل-اسکان-الوند,تهران ,https://www.iranhotelonline.com/tehran-hotels/هتل-اسکان-الوند/نظرات/,4
هتل-پاریز,تهران ,https://www.iranhotelonline.com/tehran-hotels/هتل-پاریز/نظرات/,3
هتل-اسکان,تهران ,https://www.iranhotelonline.com/tehran-hotels/هتل-اسکان/نظرات/,3
هتل-کوثر,تهران ,https://www.iranhotelonline.com/tehran-hotels/هتل-کوثر/نظرات/,4
هتل-نووتل,تهران ,https://www.iranhotelonline.com/tehran-hotels/هتل-نووتل/نظرات/,5
هتل-ویستریا,تهران ,https://www.iranhotelonline.com/tehran-hotels/هتل-ویستریا/نظرات/,5
مهمانپذیر-آنامیس,تهران ,https://www.iranhotelonline.com/tehran-hotels/مهمانپذیر-آنامیس/نظرات/,0
